filename,Score,ThemeLogic,Creativity,LayoutComposition,SpacePerspective,SenseOrder,LightShadow,Color,DetailsTexture,Overall,Mood,,,,
cff5f74ec50e401b9dbdd3ed2cba46c7.jpg,8.643,,,7.86,7.71,,7.71,7.71,7.86,8,,,,,
cf4f223dc1d64dc0b677cfe90e84783e.jpg,8.714,,,8.43,8.29,,8,8.14,8.14,8,,,,,
cf233168537f4f73a591a3912f7e5148.jpg,8.143,,,7.86,7.71,,7.71,7.86,7.86,7.57,,,,,
cdf23d37c8414860b054162dedc9d008.jpg,8.286,,,7.86,7.71,,7.29,8.14,8,7.86,,,,,
cc8d3ad1da964e2cbcbe5668819591b5.jpg,8,,,7.86,7.29,,7.71,7.71,7.29,7.57,,,,,
cb4452341c3045a2a3593ca8dde8036c.jpg,7.571,,,7.14,6.57,,6.29,7.57,7.43,6.86,,,,,
c94dc11aabfe411691b611b52d33cee0.jpg,7.5,,,7.14,7,,6.86,7.14,7,6.86,,,,,
c914b18338aa4aa79b06fd0a35acc035.jpg,7.571,,,7.71,7.43,,7.57,7.57,7.14,7.71,,,,,
c788fa6bbf144370a6f324fde2b6d6e6.png,4.714,,,4,3.57,,4.57,5,4,4.71,,,,,
c2dd30d6b1284a9483eb46a466f6df10.png,6.286,,,6,5.43,,5.71,6.57,5.43,6,,,,,
bf98df096b854e61b7ffe8ed45c78219.jpg,8.357,,,8.29,8.14,,7.86,8.29,8.14,7.86,,,,,
bdd51c95f0d1478b8da913c83ac1b00e.png,3.929,,,3.57,3.43,,3.71,4.71,3.86,3.43,,,,,
b74d1d589c624deabfa25fb39038c94b.jpg,7.429,,,6.86,7.43,,7.14,7.14,6.71,7.29,,,,,
b648ecf98be242d9aa1beda67cc03a3b.jpg,7.214,,,7.71,6.71,,6.71,7.29,7.43,7.14,,,,,
b57cd3d688134c0f96c42630bdb32fb4.jpg,6.929,,,7.29,6.57,,6.86,6.71,6.43,6.43,,,,,
b36aafec807c4d54a0d7e8d3a4e6f2bc.png,3.429,,,4.29,3.43,,3.43,4.14,3.14,3.57,,,,,
b1300d281e86470b978aa912e91147a3.png,4.214,,,4.57,4.71,,4,4.14,4,4,,,,,
b10e6847b2904e8abd9501cff2979ac2.jpg,8.929,,,8.14,8.57,,8.86,8.14,8.86,8.57,,,,,
b03e68835566447f902be33adb74bcb0.jpg,7.938,,,8,7.5,,7.75,7.38,8.12,8,,,,,
b0208529fd1744f58226ea896a604283.png,5.357,,,5.43,4.71,,3.86,5.57,4,5,,,,,
ae434bb2883447b991656c42963cb7af.jpg,7.429,,,7.43,7.14,,7.43,7.29,7,7.14,,,,,
ad3cddca1598469f8fa7f5d113225bfb.jpg,7.786,,,7.86,7.57,,7.71,7.43,7.71,7.57,,,,,
a8a31efb8a5c4c74b8ef9e09b92836f9.jpg,8.357,,,7.57,7.86,,7.86,8,8.29,8.29,,,,,
a66265895ca641dabd482d2ce57aaf52.png,5.286,,,5.71,5.29,,5.43,5.71,5.57,6,,,,,
a57b6bb1e2974ea3b39a10d9e2c7798f.jpg,7.357,,,7.43,7,,6.43,7.14,6.86,7.14,,,,,
a2fe96bcb33d4f7c89f1d45c140ac729.jpg,8.286,,,8.14,8.57,,7.86,8.14,8.29,8.29,,,,,
a2aeb7ed3e3f46ce95e0bf9e21cb0864.png,6.786,,,6.71,6.29,,6.57,7,7,7,,,,,
a1f3ef2bd34144d0acee96622e4c011e.jpg,8,,,8,7.43,,7.57,7.86,7.71,7.86,,,,,
9eafaf82d5154f80b49b6cd6c12f3a91.jpg,8,,,7.86,7.71,,7.29,7.71,7.57,7.43,,,,,
9e769e0451df4b348b77c29f4f0c00ec.jpg,8.357,,,8,7.86,,8,7.86,8.14,8.29,,,,,
9df8d0fb7c6040a2a84b02f80c52c93a.png,2.786,,,4.14,3,,2.71,3.57,3,3.43,,,,,
9d54048d978e4e089fc1efbb7edd9cf8.jpg,7.286,,,7.29,6.71,,6.57,7,7.29,7.29,,,,,
9b4993926b4b40d8910c12a9633353f4.jpg,6.929,,,7.57,7,,7.14,7,6.57,6.71,,,,,
9afca99f208640feb101b83c154ce990.png,4.786,,,5.71,4.43,,4.57,5.43,4.43,4.86,,,,,
9ad2b88c7132461e990c6403f027d430.jpg,6.429,,,6.29,6.57,,6.29,6.14,6.29,6.43,,,,,
9a6bc3f358364dcc9d60012f0cb61904.jpg,6.857,,,6.57,6.29,,6.57,6.57,6.71,6.57,,,,,
9110e12f98c34638ae50d5bc8057124f.jpg,7.5,,,7.57,6.86,,7.14,6.86,7,7,,,,,
9108068ab2614d819187df5bed6147e5.jpg,7.857,,,7.57,7.14,,8,7.71,8,7.86,,,,,
90c78c93cb974a9aade60370c356ac88.png,2.429,,,3.71,3,,3,3.86,3.14,3,,,,,
8dae4e1f21e04f4db40174f0049c32fb.jpg,8.214,,,7.14,6.71,,7.43,7.71,7.29,7.57,,,,,
8aadd29bb74941b28485b3162d4892ac.png,3.5,,,4.14,3,,3.43,3.86,3.71,3.57,,,,,
886f72d6a64c4f969102dc9d3ee34bb4.png,4,,,4.43,3.86,,4.14,4.14,3.57,4,,,,,
860c35aa689e473faf69cb29359f402b.jpg,7.857,,,7,7.43,,7.29,8,8,7.71,,,,,
84a505d26c28424ca3f656616f862ec6.jpg,7.857,,,8.14,8,,8,8.43,8.29,8,,,,,
83218d9f45be418c949fe79be360b4bb.png,3.5,,,4.14,3.57,,3.43,3.71,3.71,4.14,,,,,
82831866b0534fca895e157e52907fd4.jpg,8.214,,,8.43,8.14,,7.71,8.29,8,8,,,,,
81827fc787494189aab43a483ef14114.jpg,7.714,,,7.71,7.57,,7,7,7.71,7.29,,,,,
7ffc7dd80a9a4fc4bcc6006cf4b019c6.jpg,7.857,,,7.71,7.29,,7.57,7,7.14,7.29,,,,,
7fbf9d6cebe247b8948a9a4dc7c55bc3.png,4.286,,,5.29,4.14,,4.86,4.86,4,4.57,,,,,
7eca40e2272f489ca2c0a0c52b9cd3f1.jpg,8.143,,,8.43,8,,7.71,8.14,8.14,8,,,,,
7e971e073cc6410a8b551b44447b226b.jpg,7.643,,,7.86,7,,7.14,7.43,7.14,6.71,,,,,
7e6598ababa04282bd367d9e6b3e7472.jpg,8.071,,,7.29,8.14,,7.71,7.86,7.71,8.14,,,,,
7ca1ade37ea44b8dbde938aac495e193.jpg,7.438,,,6.62,6.75,,6.75,7.62,7.75,7.62,,,,,
7c3a4d838033448881d4ee30606b8cf8.jpg,7.25,,,6.62,7.12,,7.12,7,7.25,7.12,,,,,
7bedcfe7af864bea8103c45401ce5ec8.jpg,6.688,,,6.5,6.62,,6.25,6.88,6.62,7,,,,,
7a314a23fdee418ba5cadc7d886b011c.png,6.286,,,6.14,5.86,,6,6.29,5.57,5.43,,,,,
7981970f2b744ee28b25a6c483bb2f2a.jpg,7.286,,,6.86,7,,7.14,7.57,7.14,7.14,,,,,
7913a97bf7fa4fb4b07285da2e3b1699.jpg,7.571,,,7.71,7.43,,7.29,7.71,7.14,7.57,,,,,
78c14bd92a554ab8ab9a22923daa52a8.png,4.286,,,5.29,4.71,,4.29,4.86,5,4.71,,,,,
739514fbb95b45e7a990cff24ee7137e.jpg,7.714,,,7.14,7.29,,7.43,7.43,7.71,7.29,,,,,
71a795ee71b14ed39d57869def1766ad.png,6,,,5.86,6,,6,6.29,5.57,6.43,,,,,
718d6a84546649c6a12e10bb0c344ff1.jpg,7.143,,,7.14,7.29,,7,6.71,7.43,7.29,,,,,
6e843d6cb8d74bd1aef4cf02cc44badf.jpg,6.929,,,7.43,7.57,,6.43,6.71,6.43,6.71,,,,,
6e24e98c67394dd59cbcaffb40e7eb85.jpg,7.929,,,7.86,7.57,,7.43,7.14,6.86,7.29,,,,,
6dda6b8c64ce45d98537f8f24a7ac8f2.jpg,8.143,,,8,8.14,,8,8.14,7.29,8.14,,,,,
6ce3b3c0c1744c94b518fdccbe47479a.jpg,8.429,,,8.43,8.71,,8.71,8.14,7.29,8.14,,,,,
6c9466851357408785b0643eb39902b5.jpg,7.357,,,7.57,7,,7.14,6.86,7,7.29,,,,,
6b37a92ed91947c7a638db57e11efd89.jpg,8.143,,,8.71,8.29,,8.14,8.14,8.29,8.43,,,,,
69d93a0fa8a049589fd1044f45b3267b.jpg,8,,,8,8,,8,8,7.71,8,,,,,
68c1c09bdff34fc1b0c5f6640dda48a3.jpg,7,,,7.29,6.71,,7,6.86,7,7.14,,,,,
689e043ea1d0407fbd28d7ab146e34d0.jpg,7.214,,,7.57,7,,6.86,7.29,7.14,6.86,,,,,
6741764ea7714d7dbb3edde425ae59f0.png,4.429,,,5.14,4.86,,4.43,4.86,4.29,5,,,,,
6599e2ba94704fee8d5797ba679d9fda.jpg,7.429,,,7.14,6.86,,6.86,6.57,7.14,6.86,,,,,
64808e4880d84461a7a0aa08fff7bafa.jpg,7.714,,,7.57,7.57,,7.14,7.57,7.14,7.14,,,,,
6470d548a6f247ed8c3e28a276810a79.jpg,8.214,,,7.86,7.57,,7.86,8,7.43,8.43,,,,,
632664ff9d084abab5d8362eb05c8306.png,2.429,,,3.14,3.29,,3,3.29,3.29,3,,,,,
5c16cca3f64e484ead40664dbc37fd2d.png,3.071,,,3.71,3,,3.14,3.86,4,3.71,,,,,
5839d22060714e4fb041460929995237.jpg,6.786,,,7,7.29,,6.57,6.43,6.43,6.57,,,,,
575e33aeb3974760aa84dd4cfbe7708d.png,6.286,,,6.43,5.43,,5.43,6.29,5.43,6.57,,,,,
5385f64779c84d53bad45ec82aab637c.jpg,7.571,,,7.43,7.14,,7.14,7.14,7,7.43,,,,,
526bdf884f6547cd9046ad3887c9deaa.png,2.786,,,3.71,3.29,,3.29,3.86,3,2.86,,,,,
51debfe56f2e4e46870a2e0dd9a4eddf.png,2.429,,,3.14,3,,2.86,3.14,3,2.86,,,,,
51921f8b66414d68b450efe780f0fd9e.jpg,7.857,,,7.57,7.71,,7.14,8,7.14,7.29,,,,,
50e81b32312c48d0ad66269d1e2a59cd.png,5.143,,,5.86,5.14,,5.29,5.86,4.43,5.71,,,,,
4e6f4bf11d9a4da7995b39e6b5156d32.jpg,7.357,,,7.86,7.43,,7.57,7.57,7.57,7.57,,,,,
4cfbf95598854244b84bf2e7a39a011f.png,6.286,,,6,5.86,,6.29,6.43,6.14,6.71,,,,,
4c336c93aa824e64995e57ce99a41376.jpg,8.429,,,8.43,8,,8.43,8,8.14,8.29,,,,,
4b71e5468fc345068aaadcfc7449ad58.png,3.429,,,4,3.14,,3,3,2.71,3.14,,,,,
4b3ae168a1e84527aa7fdc736ddef0b0.png,2.857,,,4.14,3.14,,3,3.71,3,3,,,,,
4a95f785e0f3430fa26cfef23404e62d.jpg,6.714,,,6.71,6.71,,7.14,7.14,7,6.86,,,,,
48fbe472ff4647bd8734caf3f972c67c.jpg,8.071,,,8.29,7.71,,7.71,7.86,7.86,8,,,,,
48a79e55b68e49649ca63e0800a7f945.jpg,8.071,,,7.71,7.71,,7.71,7.14,7.57,7.57,,,,,
44dec4d0912a4603bf63ce49d1264159.png,5.214,,,5.14,5.14,,4.86,4.86,5.57,5.14,,,,,
44ac675f8e8f4bd686dbc71b157164e3.jpg,8.214,,,8.14,8.29,,8.14,8.14,8,7.71,,,,,
43a56ba6248d46479d3980bab34b0297.png,3.571,,,4.14,3.57,,3.43,4,3.29,3.86,,,,,
42f6d317ef9142a18a0ae4735763dfce.jpg,8.5,,,8.57,8.43,,7.71,8,8.14,8.29,,,,,
41adc1c0a4084aa492659c5c653867e1.jpg,7,,,7.14,7.43,,7.14,7.14,6.71,7.29,,,,,
4196d7c4742b4d48a76daa76f2f87ad0.png,3.786,,,3.43,3.57,,3.71,3.86,3.57,4.29,,,,,
405dd6469c96464f9da938b347552ef1.jpg,8.429,,,8.43,8.71,,7.71,8.29,8.43,8.57,,,,,
3f6caa67fd134b4d888ae2e27fdafe06.jpg,8.786,,,8.14,8.86,,8.86,8.71,8.86,8.43,,,,,
3d9c2152acb94a60a0acde67506594a5.jpg,8.214,,,8.29,8,,7.86,8,8,8.14,,,,,
3d243555ec8c4690a8f4d089dbc536ef.jpg,8.071,,,8.14,7.86,,7.71,8,7.86,8.14,,,,,
3c9ae31a75b945c7900a4c5d3792e9ba.jpg,8.571,,,8.57,8.29,,8.29,9,7.86,8.71,,,,,
37b2ece454e24296bc2bf034032614be.jpg,7.5,,,6.86,7.14,,6.86,7.29,7,6.86,,,,,
320103a4976d470ca3243da92a1a018e.jpg,8.857,,,7.86,8.14,,8.29,8.14,8.57,9,,,,,
31a1fb0ee32f4ae0b17bd847c1cacc27.jpg,8.286,,,8.14,8.14,,7.86,8.14,8.14,8.14,,,,,
308f0a227d1d4655a85c4e412dbbf720.png,6.286,,,6.29,6,,6,6.29,6.14,5.86,,,,,
305cb8b4218540f383bddf0c531b6447.jpg,9.071,,,9,9.14,,8.71,8.57,9,8.86,,,,,
2f92ea1d873d487f9cd780a25cdc59fc.jpg,7.929,,,8.29,8,,7.86,8.14,7.57,7.71,,,,,
2e295db18f19410b880f028974af1fa9.png,2.625,,,4.25,3.25,,3.5,3.38,3.38,3.25,,,,,
2d1731adcbde4df291c43b6cc1a50d56.jpg,8.643,,,8.71,8.71,,8.71,8.14,8.29,8.43,,,,,
2a4fde35d42c47849aa4b7dafe912b6e.jpg,7.5,,,7.14,6.71,,6.71,7.43,6.86,6.86,,,,,
29e6544c279a4a40bfbf10489e4d1e1f.jpg,8.643,,,8.57,8.29,,8.57,8.57,8.43,8.57,,,,,
2475089ffb2c44b4a0751bfd384c731b.jpg,8.286,,,8.14,7.71,,7.29,7.71,7.86,8.57,,,,,
236b85a33ae64b4cb179cedea2550394.jpg,7.214,,,7.14,7.43,,6.57,7.29,7.14,7.14,,,,,
23129054df6841438e21b97a0a44e72e.jpg,8.5,,,8.43,8.71,,8.29,8.14,8.57,8.57,,,,,
2032fd05d5b74d1da4bd08bb105a5d72.jpg,7.786,,,8,7.57,,7.43,8,7.29,7.14,,,,,
1fee87e2027045e688cba0e24a4836a9.jpg,8.786,,,8.71,9,,8.71,8.29,8.57,8.43,,,,,
1e2a1cae949143e19bb64cd5ab04efe8.jpg,7.857,,,8,7.86,,8,8.29,8.43,8.14,,,,,
1990eab28ed4474ea05436af16875ecf.jpg,8.071,,,8.43,8.29,,8,8.14,8.14,8.14,,,,,
184ca2e1d27547efbdbaefb87c5f912c.jpg,8.643,,,9.14,8.71,,8.57,9,8.71,8.71,,,,,
173ffe56e6ca47bf9f49e1ab092b0f14.jpg,8.214,,,8.86,8.57,,8.14,8.71,8.57,7.86,,,,,
166cf7d9cda44e889acf29b428d74405.jpg,5.643,,,5.71,5.71,,5.71,5.86,5.86,5.86,,,,,
14c95496df2844fe95dcb1761b02a948.jpg,8,,,7.86,7.86,,7.57,8,8.43,7.71,,,,,
10c220b40f6f4050b43b98501faab62b.jpg,8.083,,,7.5,7.5,,7.33,7.33,7.17,7.5,,,,,
0f5c4d5418974b58a99a7e73d23e22f5.jpg,7.917,,,7.83,7.83,,7.67,8,7.67,8,,,,,
0de0f3517113408cb334ea01f707a95a.jpg,8.917,,,8.83,9.17,,8.67,9.17,8.67,9,,,,,
0b28d12e2cf145e8a79572d51f82b2e9.jpg,8.583,,,8.33,7.5,,7.83,8.17,7.67,8,,,,,
0a641a597e3042e78309dc99960f5c47.jpg,7.667,,,8,7.5,,7.17,7.83,7.17,7.17,,,,,
0a4bd40604084b6eaa3c923d3c4dc35f.jpg,7.833,,,7.67,7.67,,7.83,7.67,7.83,8.17,,,,,
09e8b47ded8f44ab9bc0d06424956d52.jpg,8.417,,,7.83,8.67,,8,8.17,8,8.5,,,,,
074994a7bcd8447a84349f0ca548083c.jpg,7.833,,,7.83,6.67,,7.33,8.33,8.17,7.17,,,,,
fe03952e4d134c9c8442582ae4edfd77.jpg,7.214,7.43,,7.29,6.43,6.14,6.29,6.71,6.14,6.14,5.71,,,,
fd8f252740ba476c9066e4b78e386739.jpg,7.429,7,,6.86,7,6.86,7,6.86,7.57,7.14,7.14,,,,
fb104928739b4dd49c129689462d5035.png,4.125,4.25,,3.88,4.12,4.38,3.38,4.5,3.88,4,4.38,,,,
fa74855894db4929913fef8bfe6de1ed.jpg,6.562,6.12,,6,6,5.88,6,6.5,6.12,6.62,5.75,,,,
f9de0bab74f8431d96601e3cc4927605.jpg,4.75,4.38,,4.88,4.25,3.88,4.25,4,4.75,4.25,4.25,,,,
f9ae50e009274aee968dfc65c5901f28.jpg,7.625,6.88,,7,6.5,6.75,6.5,7.25,7,7.12,6.88,,,,
f80c054cfcba438fa847927f2c1b1cae.jpg,4.5,5.43,,4.57,5,4.71,4.57,4.29,4.57,4.14,4.71,,,,
f7606abcfe83429faef3752593ce065b.jpg,7.786,6.57,,6.86,6.43,6.57,6.71,6.71,7.14,6.71,5.71,,,,
f3a712ac703e4404aa000bce06c3572c.jpg,7.5,7,,6.57,6.29,7,5.71,6.14,6.86,6.71,7.14,,,,
f07183c5632d4573ba6f336205fe3a97.png,4.5,4.71,,4.71,3.43,5.29,3.86,4.71,4,4.14,4.71,,,,
edf2b0e3e8f14c84a85c72659f6d8f2e.jpg,8.214,7.86,,7.86,7.71,8,7.71,7.71,7.86,7.71,7.57,,,,
ed70353afca848c29986090f7b7fab8c.jpg,8.071,7,,7.57,7.43,7.43,7.43,7.29,8,7.71,7,,,,
ed26dc509f1d436ca211a2d987192b8f.jpg,6.286,7.57,,7.14,6.14,6.71,6.14,6.57,5.86,5.86,6.14,,,,
ec894cfc575644b3829fd2305a915d6a.png,3.643,5.14,,5,3.71,3.57,4,4,3,4,4,,,,
e706e2c576c14c6bb7451e3ce0fa5458.jpg,7.143,7,,6.57,6.29,6.29,6.29,6.43,6.86,6.29,6.43,,,,
e6e510c62c1f49ad847d1a1b1b6012aa.png,4.143,4.14,,4.14,3,4,3,3.71,3.71,4.14,4,,,,
e543d3238def451c82b532b783ecfe29.jpg,6.929,7,,6.71,7,6.86,6.86,6.29,6.86,6.43,6.57,,,,
e471e13ca03a4dca91e519d7abd127ef.jpg,7.143,7.57,,7.86,7.29,6.14,6.43,7.43,6.14,6.86,6.71,,,,
e1a037d9c2354a248bb0386aef29ccfb.jpg,6.929,7.14,,6.86,6.71,6.71,7.14,6.57,7.29,6.57,6.43,,,,
e108fbab21cb4f3e99c281b074b7bfef.png,2.357,4.43,,3.71,2.71,3,3,3,2.57,3,2.71,,,,
e004e04df984469c8f1f33eb65853e82.jpg,7.643,7.29,,7.29,7.14,7.43,7.57,7.43,8.14,7.57,6.86,,,,
dfd14e7acf3b40be942164bf18375d33.jpg,8.143,8.29,,7.86,8.14,7.29,6.86,7,7.86,7.43,7,,,,
dfce490adf4b4284b8ceaddd084dd7bc.png,2.357,4.29,,3.71,3.43,3.71,2.86,3.43,2.71,2.86,3.14,,,,
dda6413f21f44b3c85dde0a38a12f26c.jpg,8.5,8.29,,7.86,8.43,8.14,8.57,8.29,8.43,8.29,7.57,,,,
d41444f790e545fbba1eaa0eafb24000.jpg,7.429,8,,7.29,6.71,7.57,6.57,7.14,7.14,7.29,6.57,,,,
cf4fd28a92c04d019e582662f9c665c2.jpg,6.786,7.29,,6.57,6,6.71,6,5,5.43,6.43,6.43,,,,
cde993519a8843f3a392d3e93e096bf9.jpg,8.143,8.71,,7,7.57,7.71,7.29,7.29,8.14,7.71,6.57,,,,
cc8860e7b7604fb8a09bc9bf57cdb147.jpg,8,7.71,,7.43,6.71,7,7.29,7.14,7.43,7.57,8.14,,,,
cc7e279c0dae4959a9180dd14e74f177.png,3.643,4.86,,3.57,3.43,4.71,3.29,3.57,3.43,3.57,4,,,,
c8fe1a55a23b4999a19c75ad97763f69.png,3.786,4.43,,4,3.14,4,4.29,3.43,4.14,4,3.43,,,,
c74185bdbb78426fad23232da11616cc.jpg,7.929,8,,7.71,7.29,7.29,8,7.29,8.57,8,7.86,,,,
c49203d18bd245a9a5a8fecd02c98ec0.jpg,6.786,7.14,,6.29,6.14,6.57,6.71,6.14,6.86,6.14,6.43,,,,
bf37a99e97eb4f05bd38546a8a646480.jpg,8.286,8.14,,7.57,7.14,7.86,8,7.29,8.29,7.57,8,,,,
bee2b00d313943e8b1db1b6f98901264.jpg,7.5,7.71,,7.14,6.43,7.29,7,7.57,7.29,6.86,7.14,,,,
be3483a7fb16457fbc555eac72db50be.jpg,6.786,5.86,,6.14,6.57,6.29,6.43,6.43,6.71,6.71,6.14,,,,
bdcca699578b4c278e0ebba03def01ac.jpg,6.643,7,,6.43,6.57,6.57,6.29,6.86,6.57,6.43,6.29,,,,
bb0c0956361b4657a28cec927ae5d280.png,5.286,5.57,,5.57,4.43,4.57,5,5.29,4.86,4.71,5,,,,
ba70024cd280485195591a0ae3934141.jpg,6.5,6.86,,6.71,6.43,6.86,6.57,6.14,7,6.86,6.43,,,,
ba37825c10c54cfbaf17ca76313b9d99.jpg,7.357,7.57,,7.29,7,7.29,7.57,7,7.29,6.86,7.14,,,,
b9f6370c6c0d4ee2a0d3b8a6b4d40525.jpg,7.571,7.86,,7.71,7.86,7.86,7.29,7.57,7.43,7.29,7.86,,,,
b4936d6b07fc4f569cea0547cf6587a7.jpg,6.429,6.86,,6.43,6.14,6.14,6.14,6.29,6.43,6.14,6.14,,,,
b43e535e98f249549678a6f1616dd10d.jpg,5.786,5.43,,5.14,5.14,5.43,5.43,5.43,5.29,5.14,5.14,,,,
b2d862aa29164a3c9f7fe14efa443c26.jpg,7.286,7.29,,7,7,6.71,7.14,7.14,7.43,7,7.14,,,,
b20f23cc557b4cd1b8b65e1b75d6d3f0.jpg,6.357,6.71,,6.29,6.29,6.14,6.71,6.71,6.86,7,6,,,,
b0a7dcd480aa4d80b9c6e9be70fb95d9.jpg,6.357,7.14,,6.29,6,6.57,6.57,6,6.14,6.43,6.14,,,,
ac6b29ff66684a95b1c3da95bbbfd9d1.jpg,6.643,7.14,,6.57,6.57,6.71,6.43,6.71,7,6.43,6.14,,,,
abcb327c5d254fb78371382a160f2920.png,3.643,3.29,,3.29,3.43,3.43,3.29,3.43,3.43,3.57,3.14,,,,
ab17bc356174472798bcbb4307f08ec9.png,2.357,3.14,,2.43,2.57,2.86,2.71,2.57,3,2.86,3.29,,,,
a9130f593be04ec8b841ce4ee2a71335.jpg,6,6.29,,6.14,5.86,5.86,5.71,5.57,6,5.86,6,,,,
a68d49906c6f4cb3ba52511d8df10ff4.png,5.143,5,,4.57,5,5.14,4.29,5,4.71,4.86,5.29,,,,
a643683bd3f44ba5b20d410e335c7aa6.jpg,8.286,8.14,,8,7.29,7.43,7.57,7.57,7.71,7.71,6.86,,,,
a58a96d33e854e7ba5edffcf2a25240c.jpg,6.571,6.71,,5.86,6.14,6.29,6.43,6.57,6.86,6.29,6.57,,,,
a441fdf2cfcc45ff94f04ba9256cdfee.jpg,7.071,7,,6.86,7,6.57,6.71,6.86,6.71,6.57,7,,,,
a439132febb2454fa18a3607e6fd61f1.png,2.643,2.86,,3.29,3,3.14,3.29,3.43,3.29,3.14,2.86,,,,
a38ebc032e324e3b870a8a363957b39c.jpg,6.929,6.14,,6.43,6.29,6.43,6.43,6.43,6.29,6.43,6.57,,,,
a38980d784704c268a02545f39ce302e.png,2.214,2.71,,2.57,2.43,2.71,2.57,2.57,2.71,2.57,2.29,,,,
a1311c71a33349509f5a4e0a5593a2e5.jpg,4.071,4.57,,4,4.14,4.71,4.14,4.43,4.14,3.86,3.86,,,,
9f23f00b12d2483a841ae5fd25d0145e.jpg,7.714,7.57,,7,7.43,7.14,7.86,7.43,7.71,7.14,7.71,,,,
9cc497ef1d05440baff4bf0ea9decd82.jpg,7.357,8.14,,7.29,7.43,7.14,7.71,7.71,7.43,7,7.57,,,,
9bfa9c9ad58f4f70b548ef8d8e47f2b3.jpg,6.429,6,,5.86,6,6,6.86,6.43,6.14,6,5.86,,,,
9b5f7fbb1b6e45769267a810fbc1fcb2.png,2.857,3.86,,3.14,2.71,3.14,3,3.14,3.14,3,2.86,,,,
9b4f4268c7c84e2ab3fb2f0ec3a204d8.jpg,5.429,5,,5.14,5.14,5.57,5.29,5,5.29,5.14,5.43,,,,
9ad139ceb0a4419d95c74d1c13f37231.jpg,6.143,6.43,,5.86,5.86,6,6.71,5.86,5.86,6.29,6.14,,,,
